actor1,actor2,orderprod,film_id,ratings,id,title, budget , revenue ,profit,genres,original_language,overview,production_companies,production_countries,USA,release_date,runtime,spoken_languages,status,tagline,popularity,vote_average,vote_count,production_companies_number,production_countries_number,spoken_languages_number
Sandra Bullock,Billy Bob Thornton,2,tt1018765,6.1,10317,Our Brand Is Crisis," 28,000,000 "," 7,002,261 ",-20997739,Drama|Comedy,en,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",Participant Media,United States of America,1,11/9/2015,108,English,Released,May the best campaign win.,1.505627,5.8,188,2,1,1
Billy Bob Thornton,Joaquim de Almeida,8,tt1018765,6.1,10317,Our Brand Is Crisis," 28,000,000 "," 7,002,261 ",-20997739,Drama|Comedy,en,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",Participant Media,United States of America,1,11/9/2015,108,English,Released,May the best campaign win.,1.505627,5.8,188,2,1,1
Sandra Bullock,Joaquim de Almeida,4,tt1018765,6.1,10317,Our Brand Is Crisis," 28,000,000 "," 7,002,261 ",-20997739,Drama|Comedy,en,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",Participant Media,United States of America,1,11/9/2015,108,English,Released,May the best campaign win.,1.505627,5.8,188,2,1,1
Billy Bob Thornton,Anthony Mackie,6,tt1018765,6.1,10317,Our Brand Is Crisis," 28,000,000 "," 7,002,261 ",-20997739,Drama|Comedy,en,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",Participant Media,United States of America,1,11/9/2015,108,English,Released,May the best campaign win.,1.505627,5.8,188,2,1,1
Sandra Bullock,Anthony Mackie,3,tt1018765,6.1,10317,Our Brand Is Crisis," 28,000,000 "," 7,002,261 ",-20997739,Drama|Comedy,en,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",Participant Media,United States of America,1,11/9/2015,108,English,Released,May the best campaign win.,1.505627,5.8,188,2,1,1
Joaquim de Almeida,Anthony Mackie,12,tt1018765,6.1,10317,Our Brand Is Crisis," 28,000,000 "," 7,002,261 ",-20997739,Drama|Comedy,en,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",Participant Media,United States of America,1,11/9/2015,108,English,Released,May the best campaign win.,1.505627,5.8,188,2,1,1
Vincent D'Onofrio,Matilda Anna Ingrid Lutz,4,tt0498381,4.5,14564,Rings," 25,000,000 "," 83,100,000 ",58100000,Horror,en,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",Paramount Pictures,United States of America,1,1/2/2017,102,English,Released,Evil is reborn.,7.148068,4.8,919,5,1,1
Vincent D'Onofrio,Johnny Galecki,12,tt0498381,4.5,14564,Rings," 25,000,000 "," 83,100,000 ",58100000,Horror,en,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",Paramount Pictures,United States of America,1,1/2/2017,102,English,Released,Evil is reborn.,7.148068,4.8,919,5,1,1
Vincent D'Onofrio,Alex Roe,8,tt0498381,4.5,14564,Rings," 25,000,000 "," 83,100,000 ",58100000,Horror,en,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",Paramount Pictures,United States of America,1,1/2/2017,102,English,Released,Evil is reborn.,7.148068,4.8,919,5,1,1
Johnny Galecki,Matilda Anna Ingrid Lutz,3,tt0498381,4.5,14564,Rings," 25,000,000 "," 83,100,000 ",58100000,Horror,en,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",Paramount Pictures,United States of America,1,1/2/2017,102,English,Released,Evil is reborn.,7.148068,4.8,919,5,1,1
Johnny Galecki,Alex Roe,6,tt0498381,4.5,14564,Rings," 25,000,000 "," 83,100,000 ",58100000,Horror,en,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",Paramount Pictures,United States of America,1,1/2/2017,102,English,Released,Evil is reborn.,7.148068,4.8,919,5,1,1
Alex Roe,Matilda Anna Ingrid Lutz,2,tt0498381,4.5,14564,Rings," 25,000,000 "," 83,100,000 ",58100000,Horror,en,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",Paramount Pictures,United States of America,1,1/2/2017,102,English,Released,Evil is reborn.,7.148068,4.8,919,5,1,1
Melissa McCarthy,Kristen Wiig,2,tt1289401,6.6,43074,Ghostbusters," 144,000,000 "," 229,147,509 ",85147509,Action|Fantasy|Comedy,en,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Columbia Pictures,United States of America,1,14/07/2016,116,English,Released,Who You Gonna Call?,6.341922,5.3,1950,7,1,1
Melissa McCarthy,Kate McKinnon,3,tt1289401,6.6,43074,Ghostbusters," 144,000,000 "," 229,147,509 ",85147509,Action|Fantasy|Comedy,en,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Columbia Pictures,United States of America,1,14/07/2016,116,English,Released,Who You Gonna Call?,6.341922,5.3,1950,7,1,1
Leslie Jones,Melissa McCarthy,4,tt1289401,6.6,43074,Ghostbusters," 144,000,000 "," 229,147,509 ",85147509,Action|Fantasy|Comedy,en,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Columbia Pictures,United States of America,1,14/07/2016,116,English,Released,Who You Gonna Call?,6.341922,5.3,1950,7,1,1
